# Manual WC results overlay — scores martj42 hasn't published yet.
# Filled into the model at ingest; martj42 stays canonical once it catches up.
#
# HOW TO USE:
#   1. scripts/wc/refresh_now.sh --list-missing   (prints the rows below, unfilled)
#   2. Paste rows here and fill home_score,away_score. Team names MUST match
#      martj42 spelling exactly (the --list-missing output already does).
#   3. scripts/wc/refresh_now.sh                  (re-fits, re-forecasts, publishes)
#   4. When martj42 publishes the real score you'll get a warning at ingest —
#      delete that row here (the overlay self-drains).
#
# pen_winner — ONLY for a KNOCKOUT match level on score (decided on penalties):
#   put the winning team's exact name here (else leave blank). The simulator
#   does not model shootouts, so this is how a drawn knockout's winner reaches
#   the pin-builder (data/wc/shootouts.csv). martj42's shootouts.csv is canonical
#   once it catches up — delete the row then (self-drains like the score).
date,home_team,away_team,home_score,away_score,pen_winner
2026-06-26,Egypt,Iran,1,1,
2026-06-26,New Zealand,Belgium,1,5,
2026-06-26,Cape Verde,Saudi Arabia,0,0,
2026-06-26,Uruguay,Spain,0,1,
2026-06-26,Norway,France,1,4,
2026-06-26,Senegal,Iraq,5,0,
2026-06-27,Algeria,Austria,3,3,
2026-06-27,Jordan,Argentina,1,3,
2026-06-27,Colombia,Portugal,0,0,
2026-06-27,DR Congo,Uzbekistan,3,1,
2026-06-27,Panama,England,0,2,
2026-06-27,Croatia,Ghana,2,1,
